dateiname	tbeg_klass_art	erlaeuterung
lk20070928_2bvl000505	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20080225_2bvl001405	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20080811_2bvl000503	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20080908_2bvl000603	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20081118_1bvl000408	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20081120_2bvl001608	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20081209_2bvl000704	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20090107_1bvl000205	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20090513_1bvl000708	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20090513_2bvl001908	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20090722_1bvl000907	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20090722_1bvl001007	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20090722_2bvl000309	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20090810_1bvl001509	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20090901_2bvl001007	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20091006_2bvl000509	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20091014_2bvl000308	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20091014_2bvl001308	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20091106_2bvl000407	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20100310_1bvl001107	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20100427_2bvl001307	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20100624_1bvl000510	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20100726_2bvl002108	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20100908_2bvl000310	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20101116_2bvl001209	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20101130_1bvl000307	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20101208_1bvl000710	Regeln-Absatz	automatisch annotiert in ebene-Tags
lk20101216_2bvl001609	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20110314_1bvl001307	Regeln-Satz	automatisch annotiert in ebene-Tags
